p_id,p_model,p_stock,p_shipping,gm_show_qty_info,p_status,p_startpage,p_sorting,p_startpage_sort
1565,1316007,100,2,0,1,0,None,None
1566,1316008,100,2,0,1,0,None,None
1567,1316009,100,2,0,1,0,None,None
1569,1317001,100,2,0,1,0,None,None
1570,1317002,100,2,0,1,0,None,None
1571,1317003,100,2,0,1,0,None,None
1572,1317004,100,2,0,1,0,None,None
1573,1317005,100,2,0,1,0,None,None
1574,1317006,100,2,0,1,0,None,None
1575,1317007,100,2,0,1,0,None,None
1576,1317008,100,2,0,1,0,None,None
1577,1317009,100,2,0,1,0,None,None
1578,1317010,100,2,0,1,0,None,None
1579,1317011,100,2,0,1,0,None,None
1580,1317012,100,2,0,1,0,None,None
1581,1317013,100,2,0,1,0,None,None
1582,1317014,100,2,0,1,0,None,None
1583,1317015,100,2,0,1,0,None,None
1586,1502006,10,2,0,1,0,None,None
1587,1502007,10,2,0,1,0,None,None
1594,1106062,0,2,1,0,0,None,None
1595,1106063,0,2,1,0,0,None,None
1596,1106064,0,2,1,0,0,None,None
1599,1106067,0,2,1,0,0,None,None
1600,1106068,0,2,1,0,0,None,None
1605,1106072,0,2,1,0,0,None,None
1607,1019001,100,2,0,1,0,None,None
1608,1019002,100,2,0,1,0,None,None
1611,1019005,100,2,0,1,0,None,None
1612,1019006,100,2,0,1,0,None,None
1615,1019009,50,2,0,1,0,None,None
1623,1104079,10,2,0,1,0,None,None
1625,1116055,10,2,0,1,0,None,None
1626,1116056,50,2,0,1,0,None,None
1627,1012004,100,2,0,1,0,None,None
1629,1012006,10,2,0,1,0,None,None
1630,1600011,100,2,0,1,0,None,None
1632,1104081,100,2,0,1,0,None,None
1634,1116058,100,2,0,1,0,None,None
1635,1116059,100,2,0,1,0,None,None
1639,1116063,100,2,0,1,0,None,None
1643,1115027,100,2,0,1,0,None,None
1644,1104082,100,2,0,1,0,None,None
1645,1106073,100,2,0,1,0,None,None
1646,1106074,100,2,0,1,0,None,None
1647,1106075,100,2,0,1,0,None,None
1653,1315005,100,2,0,1,0,None,None
1654,1315006,50,2,0,1,0,None,None
1655,1315007,50,2,0,1,0,None,None
1657,1112034,100,2,0,1,0,None,None
1668,1104087,10,2,0,1,0,None,None
1669,1315001,100,2,0,1,0,None,None
1670,1316011,100,2,0,1,0,None,None
1671,1315003,100,2,0,1,0,None,None
1672,1316013,100,2,0,1,0,None,None
1675,1316016,100,2,0,1,0,None,None
1680,1106078,100,2,0,1,0,None,None
1687,1103012,100,2,0,1,0,None,None
1690,1104094,100,2,0,1,0,None,None
1693,1113013,100,2,0,1,0,None,None
1694,1113014,100,2,0,1,0,None,None
1695,1113015,100,2,0,1,0,None,None
1696,1113016,0,9,0,1,0,None,None
1697,1113017,100,2,0,1,0,None,None
1698,1113018,100,2,0,1,0,None,None
1699,1104095,5,2,1,1,0,None,None
1700,1104096,10,2,0,1,0,None,None
1701,1104097,50,2,0,1,0,None,None
1702,1104098,10,2,0,1,0,None,None
1703,1104099,50,2,0,1,0,None,None
1704,1104100,4,2,1,1,0,None,None
1706,1104102,0,9,0,1,0,None,None
1708,1104104,50,2,0,1,0,None,None
1709,1104105,2,2,1,1,0,None,None
1716,1108019,10,2,0,1,0,None,None
1717,1108020,100,2,0,1,0,None,None
1718,1108021,100,2,0,1,0,None,None
1721,1108024,100,2,0,1,0,None,None
1723,1105070,100,2,0,1,0,None,None
1724,1105071,100,2,0,1,0,None,None
1725,1105072,100,2,0,1,0,None,None
1726,1105073,100,2,0,1,0,None,None
1727,1105074,100,2,0,1,0,None,None
1728,1105075,100,2,0,1,0,None,None
1729,1105076,50,2,0,1,0,None,None
1730,1105077,100,2,0,1,0,None,None
1731,1105078,10,2,0,1,0,None,None
1732,1105079,100,2,0,1,0,None,None
1733,1105080,10,2,0,1,0,None,None
1734,1105081,10,2,0,1,0,None,None
1735,1105082,100,2,0,1,0,None,None
1736,1105083,0,9,0,1,0,None,None
1737,1105084,0,9,0,1,0,None,None
1739,1105086,100,2,0,1,0,None,None
1740,1105087,0,9,0,1,0,None,None
1741,1105088,10,2,0,1,0,None,None
1742,1105089,100,2,0,1,0,None,None
1745,1105092,100,2,0,1,0,None,None
1746,1105093,100,2,0,1,0,None,None
1747,1105094,50,2,0,1,0,None,None
1748,1105095,100,2,0,1,0,None,None
1749,1105096,100,2,0,1,0,None,None
1750,1105097,100,2,0,1,0,None,None
1751,1105098,100,2,0,1,0,None,None
1752,1105099,0,2,1,0,0,None,None
1754,1113019,100,2,0,1,0,None,None
1755,1113020,100,2,0,1,0,None,None
1756,1113021,100,2,0,1,0,None,None
1757,1113022,100,2,0,1,0,None,None
1759,1114030,100,2,0,1,0,None,None
1761,1114032,100,2,0,1,0,None,None
1762,1114033,100,2,0,1,0,None,None
1764,1114035,100,2,0,1,0,None,None
1765,1114036,100,2,0,1,0,None,None
1766,1114037,100,2,0,1,0,None,None
1769,1114040,100,2,0,1,0,None,None
1770,1114041,100,2,0,1,0,None,None
